variable	local_sensitivity_pct
tackles_total_per90	11.3802
shots_on_target_pct	9.3359
dribbles_attempts_per90	7.7978
goals_total_per90	6.4685
interceptions_per90	6.3619
dribbles_success_per90	6.2601
duels_total_per90	6.1137
non_penalty_goals_per90	5.7982
passes_key_per90	5.4001
shots_on_per90	5.1758
passes_total_per90	4.8006
passes_accuracy_pct	4.7302
shots_total_per90	4.0817
duels_won_pct	3.7604
assists_per90	3.7467
duels_won_per90	3.6493
dribbles_success_pct	2.7555
blocks_per90	2.3834
