variable	local_sensitivity_pct
dribbles_attempts_per90	9.3997
shots_total_per90	9.1073
shots_on_per90	8.4615
duels_total_per90	7.4874
duels_won_pct	7.4624
duels_won_per90	6.8002
assists_per90	5.4782
goals_total_per90	5.4770
dribbles_success_per90	5.2940
non_penalty_goals_per90	5.0213
shots_on_target_pct	4.8512
tackles_total_per90	4.1863
dribbles_success_pct	4.0316
passes_total_per90	3.8992
passes_accuracy_pct	3.7311
interceptions_per90	3.7114
passes_key_per90	3.3744
blocks_per90	2.2260
