variable	local_sensitivity_pct
goals_total_per90	8.6711
shots_total_per90	8.3076
duels_total_per90	7.5902
dribbles_success_pct	7.4357
duels_won_per90	7.4236
dribbles_success_per90	7.1717
non_penalty_goals_per90	7.0747
dribbles_attempts_per90	6.1557
duels_won_pct	5.8384
shots_on_target_pct	5.6198
passes_key_per90	5.5684
assists_per90	5.3767
tackles_total_per90	3.9083
shots_on_per90	3.6402
passes_total_per90	3.6006
blocks_per90	2.5502
passes_accuracy_pct	2.1309
interceptions_per90	1.9363
