variable	local_sensitivity_pct
duels_total_per90	10.7096
dribbles_success_pct	10.5282
tackles_total_per90	10.3879
passes_key_per90	9.8741
blocks_per90	7.6366
duels_won_pct	6.8998
assists_per90	6.8616
dribbles_attempts_per90	6.6980
passes_accuracy_pct	5.8706
dribbles_success_per90	4.7983
interceptions_per90	3.8448
shots_on_target_pct	3.5714
passes_total_per90	2.7910
duels_won_per90	2.4102
shots_on_per90	2.2652
goals_total_per90	2.1129
non_penalty_goals_per90	1.7433
shots_total_per90	0.9964
