variable	local_sensitivity_pct
passes_key_per90	15.1678
dribbles_attempts_per90	14.4817
blocks_per90	9.5495
tackles_total_per90	8.1547
duels_won_pct	7.6398
duels_total_per90	6.5265
dribbles_success_pct	6.2022
passes_accuracy_pct	6.1418
shots_total_per90	3.5595
assists_per90	3.2494
goals_total_per90	3.2111
dribbles_success_per90	3.1906
shots_on_target_pct	2.6842
interceptions_per90	2.6515
duels_won_per90	2.3997
shots_on_per90	2.3521
passes_total_per90	1.7459
non_penalty_goals_per90	1.0920
