league,player_name,age,position,nationality_group,height,appearances,starts,minutes,goals_total,assists,penalty_won,penalty_committed,penalty_scored,penalty_missed,yellow_cards,yellowred_cards,red_cards,offsides_per90,shots_total_per90,shots_on_per90,goals_total_per90,assists_per90,goals_plus_assists_per90,non_penalty_goals_per90,passes_total_per90,passes_key_per90,tackles_total_per90,blocks_per90,interceptions_per90,tackles_plus_interceptions_per90,duels_total_per90,duels_won_per90,dribbles_attempts_per90,dribbles_success_per90,dribbles_past_per90,fouls_drawn_per90,fouls_committed_per90,yellow_cards_per90,yellowred_cards_per90,red_cards_per90,passes_accuracy_pct,shots_on_target_pct,duels_won_pct,dribbles_success_pct,rating_weighted
EUROPE 2,Aaron Bouwman,16-20,D,UEFA,187-194,10,8,770.0,1.0,0.0,0.0,0.0,0,0,2,0.0,0,0.0,0.7012987012987013,0.4675324675324675,0.1168831168831168,0.0,0.1168831168831168,0.1168831168831168,66.15584415584416,0.1168831168831168,1.168831168831169,0.5844155844155845,0.8181818181818181,1.9870129870129871,5.376623376623376,2.4545454545454546,0.2337662337662337,0.2337662337662337,0.3506493506493506,0.0,1.168831168831169,0.2337662337662337,0.0,0.0,67.35865724381625,66.66666666666666,45.65217391304348,100.0,7.051948051948052
CONCACAF,Aaron Herrera,28-31,D,CONCACAF,179-186,33,28,2459.0,0.0,2.0,0.0,0.0,0,0,11,0.0,2,0.0366002440016266,0.5124034160227735,0.1464009760065067,0.0,0.0732004880032533,0.0732004880032533,0.0,37.33224888165921,1.5372102480683203,1.573810492069947,0.4758031720211468,1.1712078080520536,2.745018300122001,8.27165514436763,4.245628304188695,1.573810492069947,0.7320048800325335,0.4392029280195201,0.5490036600244002,1.2078080520536802,0.4026026840178934,0.0,0.0732004880032533,32.444117647058825,28.57142857142857,51.32743362831859,46.51162790697674,6.9214314762098414
EUROPE 1,Aaron Hickey,21-24,D,UEFA,171-178,21,8,716.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.6284916201117318,0.1256983240223463,0.0,0.0,0.0,0.0,35.824022346368714,0.0,1.8854748603351956,0.7541899441340782,1.005586592178771,2.8910614525139664,8.296089385474861,4.148044692737431,0.8798882681564246,0.0,0.7541899441340782,1.1312849162011174,0.8798882681564246,0.1256983240223463,0.0,0.0,21.37543859649123,20.0,50.0,0.0,6.633146853146853
CONCACAF,Aaron Long,32-35,D,CONCACAF,179-186,20,20,1627.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.2212661339889367,0.1106330669944683,0.0553165334972341,0.0,0.0553165334972341,0.0553165334972341,71.35832821143208,0.2212661339889367,1.1616472034419176,0.5531653349723417,0.331899200983405,1.4935464044253228,5.421020282728949,3.650891210817455,0.1106330669944683,0.0,0.2765826674861708,0.2212661339889367,0.7191149354640444,0.0553165334972341,0.0,0.0,72.00697674418605,50.0,67.3469387755102,0.0,7.085617701290719
EUROPE 2,Aaron Meijers,36-45,D,UEFA,171-178,12,5,511.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.1761252446183953,0.1761252446183953,0.0,0.0,0.0,0.0,32.93542074363992,0.1761252446183953,1.9373776908023483,0.1761252446183953,0.0,1.9373776908023483,8.277886497064578,4.227005870841487,0.8806262230919765,0.3522504892367906,1.5851272015655575,1.2328767123287672,0.8806262230919765,0.0,0.0,0.0,18.63636363636364,100.0,51.06382978723404,40.0,6.511545988258317
CONMEBOL,Aaron Molinas,25-27,M,CONMEBOL,171-178,42,40,3266.0,5.0,7.0,0.0,0.0,3,0,7,0.0,0,0.0275566442131047,0.8542559706062461,0.4409063074096754,0.1377832210655235,0.192896509491733,0.3306797305572566,0.0551132884262094,54.06613594611145,1.9565217391304348,1.3227189222290263,0.192896509491733,0.6062461726883037,1.92896509491733,6.586037966932026,3.1965707287201472,1.1849357011635029,0.7991426821800368,0.3031230863441518,0.8266993263931415,0.6338028169014085,0.192896509491733,0.0,0.0,46.50407747196738,51.61290322580645,48.53556485355649,67.44186046511628,7.171616656460502
EUROPE 2,Aaron Opoku,25-27,D,UEFA,179-186,19,14,1235.0,0.0,2.0,0.0,0.0,0,0,3,0.0,0,0.145748987854251,0.5101214574898786,0.2186234817813765,0.0,0.145748987854251,0.145748987854251,0.0,23.24696356275304,1.603238866396761,1.0202429149797572,0.0728744939271255,0.5101214574898786,1.5303643724696356,9.255060728744938,3.57085020242915,2.1862348178137654,1.165991902834008,1.165991902834008,0.5101214574898786,1.165991902834008,0.2186234817813765,0.0,0.0,15.852664576802509,42.85714285714285,38.582677165354326,53.333333333333336,6.515546558704453
EUROPE 1,Aaron Wan-Bissaka,28-31,D,UEFA,179-186,25,23,2084.0,0.0,2.0,0.0,0.0,0,0,4,0.0,0,0.0431861804222648,0.0,0.0,0.0,0.0863723608445297,0.0863723608445297,0.0,31.785028790786946,0.7773512476007678,1.4683301343570057,0.3023032629558541,1.68426103646833,3.152591170825336,7.1257197696737045,3.62763915547025,1.4251439539347408,0.690978886756238,0.2591170825335893,0.5182341650671786,0.993282149712092,0.1727447216890595,0.0,0.0,26.24184782608696,0.0,50.90909090909091,48.48484848484848,6.64443378119002
EUROPE 1,Aaron Zehnter,21-24,D,UEFA,179-186,20,17,1465.0,2.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.6143344709897611,0.3071672354948805,0.1228668941979522,0.0,0.1228668941979522,0.1228668941979522,36.61433447098976,0.9829351535836176,0.9215017064846416,0.4300341296928327,1.10580204778157,2.027303754266212,3.870307167235495,1.9044368600682595,0.6143344709897611,0.4300341296928327,0.4914675767918088,0.0,0.1228668941979522,0.0,0.0,0.0,28.63758389261745,50.0,49.2063492063492,70.0,6.55522898154477
EUROPE 1,Aarón Martín,28-31,D,UEFA,179-186,33,26,2185.0,1.0,5.0,1.0,1.0,0,1,1,0.0,0,0.0,0.205949656750572,0.1647597254004576,0.0411899313501144,0.205949656750572,0.2471395881006864,0.0411899313501144,30.356979405034327,2.553775743707094,1.77116704805492,0.4530892448512585,0.4118993135011441,2.183066361556064,7.249427917620137,3.789473684210526,1.0709382151029747,0.5354691075514874,0.2883295194508009,1.1121281464530892,1.276887871853547,0.0411899313501144,0.0,0.0,24.58423913043478,80.0,52.27272727272727,50.0,6.995183486238532
CONCACAF,Aarón Mejía,21-24,D,CONCACAF,171-178,11,6,568.0,0.0,0.0,0.0,1.0,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.570422535211264,0.7922535211267606,1.5845070422535212,0.6338028169014085,1.267605633802817,2.852112676056338,6.496478873239437,3.3274647887323945,0.3169014084507042,0.1584507042253521,0.1584507042253521,0.3169014084507042,1.9014084507042253,0.4753521126760563,0.0,0.0,23.120689655172413,0.0,51.21951219512195,50.0,6.51338028169014
CONMEBOL,Aarón Quirós,21-24,D,CONMEBOL,171-178,27,21,1980.0,0.0,0.0,0.0,1.0,0,0,10,0.0,3,0.0454545454545454,0.2272727272727273,0.0454545454545454,0.0,0.0,0.0,0.0,43.22727272727273,0.0454545454545454,1.1363636363636362,0.2272727272727273,1.5454545454545454,2.681818181818182,7.909090909090909,4.227272727272727,0.5,0.3181818181818182,0.5,0.7727272727272727,1.0909090909090908,0.4545454545454546,0.0,0.1363636363636363,40.79473684210527,20.0,53.44827586206896,63.63636363636363,6.551870576339737
EUROPE 2,Abbosbek Fayzullaev,21-24,M,AFC,163-170,20,14,1117.0,3.0,3.0,1.0,0.0,0,0,4,0.0,0,0.2417188898836168,1.853178155774396,0.9668755595344674,0.2417188898836168,0.2417188898836168,0.4834377797672337,0.2417188898836168,27.878245299910475,1.6114592658907787,2.1754700089525514,0.0,0.4834377797672337,2.658907788719785,11.199641897940914,5.720680393912265,1.9337511190689347,1.0474485228290062,1.1280214861235451,1.5308863025962398,1.6920322291853178,0.3222918531781558,0.0,0.0,16.034682080924856,52.17391304347826,51.07913669064749,54.16666666666666,7.053178155774395
EUROPE 1,Abdallah Sima,21-24,F,CAF,187-194,21,6,718.0,2.0,2.0,0.0,0.0,0,0,3,0.0,0,0.3760445682451254,2.883008356545961,1.128133704735376,0.2506963788300835,0.2506963788300835,0.5013927576601671,0.2506963788300835,30.208913649025067,1.2534818941504178,0.8774373259052926,0.0,0.2506963788300835,1.128133704735376,12.53481894150418,5.766016713091922,1.3788300835654597,0.5013927576601671,0.3760445682451254,1.754874651810585,1.754874651810585,0.3760445682451254,0.0,0.0,15.278008298755188,39.130434782608695,46.0,36.36363636363637,6.583682008368201
EUROPE 1,Abdel Rahim,21-24,D,CAF,179-186,27,18,1726.0,0.0,0.0,0.0,0.0,0,0,2,0.0,0,0.4692931633835457,0.0,0.0,0.0,0.0,0.0,0.0,37.54345307068366,0.8864426419466975,1.772885283893395,0.3128621089223638,1.668597914252607,3.441483198146002,5.892236384704519,3.702201622247972,0.8864426419466975,0.4171494785631517,0.4171494785631517,0.4171494785631517,0.5214368482039398,0.1042873696407879,0.0,0.0,28.09583333333333,0.0,62.83185840707964,47.05882352941176,6.63739837398374
EUROPE 1,Abdelhamid Ait Boudlal,16-20,D,CAF,187-194,20,17,1415.0,2.0,1.0,0.0,0.0,0,0,3,0.0,1,0.0636042402826855,0.763250883392226,0.254416961130742,0.127208480565371,0.0636042402826855,0.1908127208480565,0.127208480565371,52.15547703180212,0.0636042402826855,1.3992932862190814,1.0812720848056536,1.2084805653710249,2.607773851590106,9.031802120141345,5.088339222614841,1.1448763250883394,0.6360424028268551,0.381625441696113,0.6360424028268551,0.8904593639575972,0.1908127208480565,0.0,0.0636042402826855,46.79878048780488,33.33333333333333,56.33802816901409,55.55555555555556,6.925441696113074
EUROPE 1,Abdelkabir Abqar,25-27,D,CAF,187-194,23,17,1440.0,0.0,2.0,0.0,1.0,0,0,10,0.0,1,0.0625,0.375,0.0625,0.0,0.125,0.125,0.0,27.500000000000004,0.25,2.4375,0.5,1.3125,3.75,10.0,6.187500000000001,0.4375,0.125,0.4375,2.25,1.8125,0.625,0.0,0.0625,17.59318181818182,16.666666666666664,61.875,28.57142857142857,6.782140375260598
