country,league,season,player_name,age,position,nationality,height,weight,appearances,starts,minutes,goals_total,assists,penalty_won,penalty_committed,penalty_scored,penalty_missed,yellow_cards,yellowred_cards,red_cards,offsides_per90,shots_total_per90,shots_on_per90,goals_total_per90,assists_per90,goals_plus_assists_per90,non_penalty_goals_per90,passes_total_per90,passes_key_per90,tackles_total_per90,blocks_per90,interceptions_per90,tackles_plus_interceptions_per90,duels_total_per90,duels_won_per90,dribbles_attempts_per90,dribbles_success_per90,dribbles_past_per90,fouls_drawn_per90,fouls_committed_per90,yellow_cards_per90,yellowred_cards_per90,red_cards_per90,passes_accuracy_pct,shots_on_target_pct,duels_won_pct,dribbles_success_pct,rating_weighted
mexico,Liga MX,2025,Aaron Ramsey,35.0,M,Wales,178.0,76.0,6,3,235.0,1.0,0.0,0.0,0.0,0,1,1,0.0,0,0.0,2.2978723404255317,0.3829787234042553,0.3829787234042553,0.0,0.3829787234042553,0.3829787234042553,46.34042553191489,1.9148936170212765,1.1489361702127658,0.0,0.3829787234042553,1.5319148936170213,6.8936170212765955,3.4468085106382977,1.1489361702127658,0.3829787234042553,0.0,1.9148936170212765,0.7659574468085106,0.3829787234042553,0.0,0.0,17.65289256198347,16.666666666666664,50.0,33.33333333333333,6.36468085106383
mexico,Liga MX,2025,Aarón Mejía,24.0,D,Mexico,173.0,66.0,11,6,568.0,0.0,0.0,0.0,1.0,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.570422535211264,0.7922535211267606,1.5845070422535212,0.6338028169014085,1.267605633802817,2.852112676056338,6.496478873239437,3.3274647887323945,0.31690140845070425,0.15845070422535212,0.15845070422535212,0.31690140845070425,1.9014084507042253,0.4753521126760563,0.0,0.0,23.120689655172413,,51.21951219512195,50.0,6.51338028169014
mexico,Liga MX,2025,Abraham Villegas Maciel,23.0,D,Mexico,,,2,1,110.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.54545454545455,1.6363636363636362,0.8181818181818181,0.0,1.6363636363636362,2.4545454545454546,0.8181818181818181,0.8181818181818181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.365853658536587,,100.0,,6.681818181818182
mexico,Liga MX,2025,Adalberto Carrasquilla,27.0,M,Panama,170.0,65.0,38,32,2860.0,2.0,6.0,1.0,1.0,0,0,11,0.0,0,0.03146853146853147,0.8181818181818181,0.34615384615384615,0.06293706293706294,0.1888111888111888,0.2517482517482518,0.06293706293706294,44.811188811188806,1.5104895104895104,0.8181818181818181,0.1888111888111888,0.7552447552447552,1.5734265734265735,8.590909090909092,4.027972027972028,1.4160839160839163,0.8496503496503497,0.4405594405594406,1.8566433566433567,1.6993006993006994,0.34615384615384615,0.0,0.0,36.75772471910113,42.30769230769231,46.88644688644688,60.0,6.940244755244755
mexico,Liga MX,2025,Adonis Frías,27.0,D,Argentina,188.0,80.0,5,4,369.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,1.2195121951219512,0.24390243902439024,0.0,0.0,0.0,0.0,42.4390243902439,0.24390243902439024,1.7073170731707317,0.4878048780487805,0.4878048780487805,2.1951219512195124,9.51219512195122,6.585365853658536,0.24390243902439024,0.24390243902439024,0.7317073170731708,0.7317073170731708,0.7317073170731708,0.0,0.0,0.0,39.145348837209305,20.0,69.23076923076923,100.0,6.926829268292683
mexico,Liga MX,2025,Adonis Preciado,28.0,F,Ecuador,,,35,20,1987.0,3.0,2.0,3.0,0.0,1,1,5,0.0,0,0.6794162053346754,1.4041268243583291,0.498238550578762,0.13588324106693508,0.09058882737795672,0.2264720684448918,0.09058882737795672,18.933064921992955,0.8152994464016106,2.2194262707599397,0.09058882737795672,0.4076497232008053,2.627075993960745,14.222445898339204,7.926522395571213,3.170608958228485,1.0870659285354807,0.6794162053346754,2.4458983392048315,1.7664821338701562,0.2264720684448918,0.0,0.0,11.663461538461538,35.483870967741936,55.73248407643312,34.285714285714285,6.966280825364872
mexico,Liga MX,2025,Adrián Mora,28.0,D,Mexico,185.0,81.0,16,14,1257.0,2.0,0.0,0.0,1.0,0,0,4,0.0,0,0.0,0.35799522673031026,0.2863961813842482,0.1431980906921241,0.0,0.1431980906921241,0.1431980906921241,31.718377088305488,0.0,1.7183770883054894,0.8591885441527447,0.7875894988066825,2.5059665871121717,7.5894988066825775,3.5083532219570404,0.07159904534606205,0.07159904534606205,0.35799522673031026,0.21479713603818618,1.575178997613365,0.2863961813842482,0.0,0.0,30.17607223476298,80.0,46.22641509433962,100.0,6.515047770700637
mexico,Liga MX,2025,Agustín Almendra,25.0,M,Argentina,175.0,78.0,10,5,448.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.6026785714285714,0.0,0.0,0.0,0.0,0.0,31.33928571428571,1.0044642857142858,0.0,0.20089285714285712,0.8035714285714285,0.8035714285714285,3.013392857142857,1.2053571428571428,0.6026785714285714,0.20089285714285712,0.6026785714285714,0.6026785714285714,0.40178571428571425,0.0,0.0,0.0,15.685897435897436,0.0,40.0,33.33333333333333,6.745089285714286
mexico,Liga MX,2025,Agustín Oliveros,27.0,D,Uruguay,183.0,79.0,23,23,2043.0,2.0,1.0,0.0,0.0,0,0,3,0.0,1,0.0,0.748898678414097,0.1762114537444934,0.0881057268722467,0.04405286343612335,0.13215859030837004,0.0881057268722467,48.14977973568282,0.44052863436123346,0.8370044052863436,0.6167400881057269,0.5286343612334802,1.3656387665198237,5.726872246696035,3.436123348017621,0.13215859030837004,0.0881057268722467,0.3524229074889868,0.8810572687224669,0.8370044052863436,0.13215859030837004,0.0,0.04405286343612335,45.42543458371455,23.52941176470588,60.0,66.66666666666666,6.734067547723936
mexico,Liga MX,2025,Agustín Palavecino,29.0,M,Argentina,178.0,73.0,38,37,3212.0,8.0,5.0,0.0,1.0,1,0,10,0.0,0,0.028019925280199254,2.1295143212951433,1.2048567870485678,0.22415940224159403,0.14009962640099627,0.36425902864259024,0.19613947696139478,49.62328767123287,2.7179327521793275,2.3536737235367373,0.16811955168119552,0.6164383561643836,2.9701120797011207,11.151930261519302,5.23972602739726,1.681195516811955,0.8686176836861769,1.2608966376089663,1.5410958904109588,1.3729763387297633,0.28019925280199254,0.0,0.0,40.26030491247882,56.57894736842105,46.984924623115575,51.66666666666667,7.308281444582815
