country,league,season,player_name,age,position,nationality,height,weight,appearances,starts,minutes,goals_total,assists,penalty_won,penalty_committed,penalty_scored,penalty_missed,yellow_cards,yellowred_cards,red_cards,offsides_per90,shots_total_per90,shots_on_per90,goals_total_per90,assists_per90,goals_plus_assists_per90,non_penalty_goals_per90,passes_total_per90,passes_key_per90,tackles_total_per90,blocks_per90,interceptions_per90,tackles_plus_interceptions_per90,duels_total_per90,duels_won_per90,dribbles_attempts_per90,dribbles_success_per90,dribbles_past_per90,fouls_drawn_per90,fouls_committed_per90,yellow_cards_per90,yellowred_cards_per90,red_cards_per90,passes_accuracy_pct,shots_on_target_pct,duels_won_pct,dribbles_success_pct,rating_weighted
netherlands,Eredivisie,2025,Aaron Bouwman,18.0,D,Netherlands,188.0,71.0,10,8,770.0,1.0,0.0,0.0,0.0,0,0,2,0.0,0,0.0,0.7012987012987013,0.4675324675324675,0.11688311688311688,0.0,0.11688311688311688,0.11688311688311688,66.15584415584416,0.11688311688311688,1.168831168831169,0.5844155844155845,0.8181818181818181,1.9870129870129871,5.376623376623376,2.4545454545454546,0.23376623376623376,0.23376623376623376,0.35064935064935066,0.0,1.168831168831169,0.23376623376623376,0.0,0.0,67.35865724381625,66.66666666666666,45.65217391304348,100.0,7.0519480519480515
netherlands,Eredivisie,2025,Aaron Meijers,38.0,D,Netherlands,176.0,77.0,12,5,511.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.1761252446183953,0.1761252446183953,0.0,0.0,0.0,0.0,32.93542074363992,0.1761252446183953,1.9373776908023483,0.1761252446183953,0.0,1.9373776908023483,8.277886497064578,4.227005870841487,0.8806262230919765,0.3522504892367906,1.5851272015655575,1.2328767123287672,0.8806262230919765,0.0,0.0,0.0,18.636363636363637,100.0,51.06382978723404,40.0,6.511545988258317
netherlands,Eredivisie,2025,Abdellah Ouazane,16.0,M,,,,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netherlands,Eredivisie,2025,Abdelraffie Benzzine,19.0,D,Netherlands,,,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netherlands,Eredivisie,2025,Adam Carlén,25.0,M,Sweden,194.0,87.0,25,12,1243.0,0.0,1.0,0.0,1.0,0,0,4,0.0,0,0.07240547063555913,0.28962188254223653,0.07240547063555913,0.0,0.07240547063555913,0.07240547063555913,0.0,32.9444891391794,0.5068382944489139,2.6065969428801288,0.6516492357200322,0.6516492357200322,3.258246178600161,9.267900241351569,5.285599356395816,0.14481094127111827,0.14481094127111827,1.0136765888978279,0.6516492357200322,1.592920353982301,0.28962188254223653,0.0,0.0,26.738938053097346,25.0,57.03125,100.0,6.725322580645161
netherlands,Eredivisie,2025,Adamo Nagalo,23.0,D,Burkina Faso,185.0,75.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netherlands,Eredivisie,2025,Adil Lechkar,24.0,D,Netherlands,171.0,,16,1,290.0,0.0,2.0,0.0,0.0,0,0,2,0.0,0,0.3103448275862069,0.6206896551724138,0.3103448275862069,0.0,0.6206896551724138,0.6206896551724138,0.0,32.58620689655172,0.9310344827586207,3.103448275862069,0.6206896551724138,1.5517241379310345,4.655172413793103,13.344827586206895,6.517241379310345,0.9310344827586207,0.6206896551724138,0.9310344827586207,1.8620689655172413,3.103448275862069,0.6206896551724138,0.0,0.0,6.495238095238095,50.0,48.837209302325576,66.66666666666666,6.575694444444444
netherlands,Eredivisie,2025,Adrian Blake,20.0,F,England,173.0,65.0,25,10,1037.0,2.0,2.0,0.0,0.0,0,0,2,0.0,0,0.17357762777242045,2.430086788813886,1.3018322082931533,0.17357762777242045,0.17357762777242045,0.3471552555448409,0.17357762777242045,26.036644165863063,1.3018322082931533,0.4339440694310511,0.0,0.2603664416586307,0.6943105110896818,9.112825458052074,3.037608486017358,3.558341369334619,1.3886210221793636,0.5207328833172614,1.128254580520733,0.6943105110896818,0.17357762777242045,0.0,0.0,13.053333333333333,53.57142857142857,33.33333333333333,39.02439024390244,6.817408123791102
netherlands,Eredivisie,2025,Ahmetcan Kaplan,23.0,D,Türkiye,189.0,72.0,25,23,2050.0,1.0,0.0,0.0,1.0,0,0,10,0.0,0,0.08780487804878048,0.6146341463414634,0.35121951219512193,0.04390243902439024,0.0,0.04390243902439024,0.04390243902439024,50.31219512195123,0.3951219512195122,2.1951219512195124,0.6146341463414634,1.1414634146341465,3.3365853658536584,13.434146341463414,7.990243902439024,1.0975609756097562,0.8341463414634146,0.7902439024390244,1.8878048780487806,1.5804878048780489,0.43902439024390244,0.0,0.0,45.06544502617801,57.14285714285714,59.47712418300654,76.0,6.974390243902439
netherlands,Eredivisie,2025,Ajdin Hrustić,29.0,M,Australia,183.0,78.0,27,25,2222.0,1.0,6.0,0.0,0.0,0,0,5,0.0,0,0.0405040504050405,1.053105310531053,0.48604860486048607,0.0405040504050405,0.24302430243024303,0.28352835283528355,0.0405040504050405,40.22052205220522,2.2682268226822684,1.3366336633663365,0.28352835283528355,0.3645364536453646,1.7011701170117013,7.9792979297929785,3.766876687668767,2.187218721872187,0.8505850585058506,0.6075607560756076,1.296129612961296,1.0126012601260126,0.20252025202520252,0.0,0.0,33.14300100704934,46.15384615384615,47.20812182741117,38.88888888888889,6.857650765076508
