country,league,season,player_name,age,position,nationality,height,weight,appearances,starts,minutes,goals_total,assists,penalty_won,penalty_committed,penalty_scored,penalty_missed,yellow_cards,yellowred_cards,red_cards,offsides_per90,shots_total_per90,shots_on_per90,goals_total_per90,assists_per90,goals_plus_assists_per90,non_penalty_goals_per90,passes_total_per90,passes_key_per90,tackles_total_per90,blocks_per90,interceptions_per90,tackles_plus_interceptions_per90,duels_total_per90,duels_won_per90,dribbles_attempts_per90,dribbles_success_per90,dribbles_past_per90,fouls_drawn_per90,fouls_committed_per90,yellow_cards_per90,yellowred_cards_per90,red_cards_per90,passes_accuracy_pct,shots_on_target_pct,duels_won_pct,dribbles_success_pct,rating_weighted
usa,MLS,2025,AJ Marcucci,26.0,G,USA,191.0,86.0,2,2,180.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.152542372881356,,,,6.5
turkey,Super Lig,2025,Aaron Appindangoyé,33.0,D,Gabon,185.0,85.0,4,4,315.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,39.714285714285715,0.0,0.2857142857142857,1.7142857142857144,1.7142857142857144,2.0,8.571428571428571,2.8571428571428568,0.0,0.0,0.0,0.2857142857142857,1.4285714285714284,0.0,0.0,0.0,29.359712230215827,100.0,33.33333333333333,,6.285714285714286
netherlands,Eredivisie,2025,Aaron Bouwman,18.0,D,Netherlands,188.0,71.0,10,8,770.0,1.0,0.0,0.0,0.0,0,0,2,0.0,0,0.0,0.7012987012987013,0.4675324675324675,0.11688311688311688,0.0,0.11688311688311688,0.11688311688311688,66.15584415584416,0.11688311688311688,1.168831168831169,0.5844155844155845,0.8181818181818181,1.9870129870129871,5.376623376623376,2.4545454545454546,0.23376623376623376,0.23376623376623376,0.35064935064935066,0.0,1.168831168831169,0.23376623376623376,0.0,0.0,67.35865724381625,66.66666666666666,45.65217391304348,100.0,7.0519480519480515
usa,MLS,2025 / 2026,Aaron Herrera,28.0,D,Guatemala,180.0,71.0,33,28,2459.0,0.0,2.0,0.0,0.0,0,0,11,0.0,2,0.036600244001626675,0.5124034160227735,0.1464009760065067,0.0,0.07320048800325335,0.07320048800325335,0.0,37.33224888165921,1.5372102480683203,1.573810492069947,0.4758031720211468,1.1712078080520536,2.745018300122001,8.27165514436763,4.245628304188695,1.573810492069947,0.7320048800325335,0.4392029280195201,0.5490036600244002,1.2078080520536802,0.4026026840178934,0.0,0.07320048800325335,32.444117647058825,28.57142857142857,51.32743362831859,46.51162790697674,6.9214314762098414
england,Premier League,2025,Aaron Hickey,23.0,D,Scotland,178.0,72.0,21,8,716.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.6284916201117318,0.12569832402234637,0.0,0.0,0.0,0.0,35.824022346368714,0.0,1.8854748603351954,0.7541899441340782,1.005586592178771,2.8910614525139664,8.296089385474861,4.148044692737431,0.8798882681564246,0.0,0.7541899441340782,1.1312849162011174,0.8798882681564246,0.12569832402234637,0.0,0.0,21.37543859649123,20.0,50.0,0.0,6.633146853146853
usa,MLS,2025 / 2026,Aaron Long,33.0,D,USA,186.0,79.0,20,20,1627.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.2212661339889367,0.11063306699446834,0.05531653349723417,0.0,0.05531653349723417,0.05531653349723417,71.35832821143208,0.2212661339889367,1.1616472034419176,0.5531653349723417,0.33189920098340503,1.4935464044253228,5.421020282728949,3.650891210817455,0.11063306699446834,0.0,0.27658266748617083,0.2212661339889367,0.7191149354640444,0.05531653349723417,0.0,0.0,72.00697674418605,50.0,67.3469387755102,0.0,7.085617701290719
england / spain,La Liga / Premier League,2025,Aaron Mayol,22.0,D,England,181.0,,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
netherlands,Eredivisie,2025,Aaron Meijers,38.0,D,Netherlands,176.0,77.0,12,5,511.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.1761252446183953,0.1761252446183953,0.0,0.0,0.0,0.0,32.93542074363992,0.1761252446183953,1.9373776908023483,0.1761252446183953,0.0,1.9373776908023483,8.277886497064578,4.227005870841487,0.8806262230919765,0.3522504892367906,1.5851272015655575,1.2328767123287672,0.8806262230919765,0.0,0.0,0.0,18.636363636363637,100.0,51.06382978723404,40.0,6.511545988258317
argentina,Primera Division,2025 / 2026,Aaron Molinas,25.0,M,Argentina,175.0,67.0,42,40,3266.0,5.0,7.0,0.0,0.0,3,0,7,0.0,0,0.027556644213104716,0.8542559706062461,0.44090630740967546,0.13778322106552357,0.192896509491733,0.3306797305572566,0.05511328842620943,54.06613594611145,1.9565217391304348,1.3227189222290263,0.192896509491733,0.6062461726883037,1.92896509491733,6.586037966932026,3.1965707287201472,1.1849357011635029,0.7991426821800368,0.30312308634415186,0.8266993263931415,0.6338028169014085,0.192896509491733,0.0,0.0,46.50407747196738,51.61290322580645,48.53556485355649,67.44186046511628,7.171616656460502
turkey,Super Lig,2025,Aaron Opoku,26.0,D,Germany,185.0,71.0,19,14,1235.0,0.0,2.0,0.0,0.0,0,0,3,0.0,0,0.145748987854251,0.5101214574898786,0.21862348178137653,0.0,0.145748987854251,0.145748987854251,0.0,23.246963562753038,1.603238866396761,1.0202429149797572,0.0728744939271255,0.5101214574898786,1.5303643724696356,9.255060728744938,3.57085020242915,2.1862348178137654,1.165991902834008,1.165991902834008,0.5101214574898786,1.165991902834008,0.21862348178137653,0.0,0.0,15.852664576802507,42.857142857142854,38.582677165354326,53.333333333333336,6.515546558704453
