country,league,season,player_name,age,position,nationality,height,weight,appearances,starts,minutes,goals_total,assists,penalty_won,penalty_committed,penalty_scored,penalty_missed,yellow_cards,yellowred_cards,red_cards,offsides_per90,shots_total_per90,shots_on_per90,goals_total_per90,assists_per90,goals_plus_assists_per90,non_penalty_goals_per90,passes_total_per90,passes_key_per90,tackles_total_per90,blocks_per90,interceptions_per90,tackles_plus_interceptions_per90,duels_total_per90,duels_won_per90,dribbles_attempts_per90,dribbles_success_per90,dribbles_past_per90,fouls_drawn_per90,fouls_committed_per90,yellow_cards_per90,yellowred_cards_per90,red_cards_per90,passes_accuracy_pct,shots_on_target_pct,duels_won_pct,dribbles_success_pct,rating_weighted
turkey,Super Lig,2025,Aaron Appindangoyé,33.0,D,Gabon,185.0,85.0,4,4,315.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,39.714285714285715,0.0,0.2857142857142857,1.7142857142857144,1.7142857142857144,2.0,8.571428571428571,2.8571428571428568,0.0,0.0,0.0,0.2857142857142857,1.4285714285714284,0.0,0.0,0.0,29.359712230215827,100.0,33.33333333333333,,6.285714285714286
turkey,Super Lig,2025,Aaron Opoku,26.0,D,Germany,185.0,71.0,19,14,1235.0,0.0,2.0,0.0,0.0,0,0,3,0.0,0,0.145748987854251,0.5101214574898786,0.21862348178137653,0.0,0.145748987854251,0.145748987854251,0.0,23.246963562753038,1.603238866396761,1.0202429149797572,0.0728744939271255,0.5101214574898786,1.5303643724696356,9.255060728744938,3.57085020242915,2.1862348178137654,1.165991902834008,1.165991902834008,0.5101214574898786,1.165991902834008,0.21862348178137653,0.0,0.0,15.852664576802507,42.857142857142854,38.582677165354326,53.333333333333336,6.515546558704453
turkey,Super Lig,2025,Abbosbek Fayzullaev,22.0,M,Uzbekistan,167.0,57.0,20,14,1117.0,3.0,3.0,1.0,0.0,0,0,4,0.0,0,0.24171888988361684,1.8531781557743958,0.9668755595344674,0.24171888988361684,0.24171888988361684,0.4834377797672337,0.24171888988361684,27.878245299910475,1.6114592658907787,2.1754700089525514,0.0,0.4834377797672337,2.658907788719785,11.199641897940914,5.720680393912265,1.9337511190689347,1.0474485228290062,1.1280214861235451,1.5308863025962398,1.6920322291853178,0.3222918531781558,0.0,0.0,16.034682080924856,52.17391304347826,51.07913669064749,54.166666666666664,7.053178155774395
turkey,Super Lig,2025,Abdou Sy,,F,,,,3,0,26.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.30769230769231,0.0,6.923076923076923,0.0,0.0,6.923076923076923,24.23076923076923,17.30769230769231,3.4615384615384617,3.4615384615384617,0.0,6.923076923076923,3.4615384615384617,0.0,0.0,0.0,3.0,,71.42857142857143,100.0,6.443999999999999
turkey,Super Lig,2025,Abdul Kader Moussa Kone,18.0,F,Ivory Coast,,,4,0,44.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,4.090909090909091,2.0454545454545454,2.0454545454545454,0.0,0.0,0.0,0.0,14.318181818181818,2.0454545454545454,0.0,0.0,0.0,0.0,18.40909090909091,2.0454545454545454,2.0454545454545454,0.0,0.0,0.0,10.227272727272727,0.0,0.0,0.0,1.4285714285714286,100.0,11.11111111111111,0.0,6.343181818181819
turkey,Super Lig,2025,Abdullah Yiğiter,25.0,G,Türkiye,189.0,79.0,14,14,1260.0,0.0,0.0,0.0,0.0,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.4285714285714286,0.14285714285714285,0.14285714285714285,0.0,0.07142857142857142,0.0,0.2142857142857143,0.0,0.0,20.884861407249467,,75.0,100.0,6.5285714285714285
turkey,Super Lig,2025,Abdulsamet Burak,29.0,D,Netherlands,183.0,75.0,8,5,384.0,0.0,0.0,0.0,0.0,0,0,3,0.0,0,0.234375,0.0,0.0,0.0,0.0,0.0,0.0,37.734375,0.46875,1.171875,0.46875,1.40625,2.578125,8.4375,4.453125,0.703125,0.234375,0.234375,1.875,1.640625,0.703125,0.0,0.0,24.440993788819874,,52.77777777777778,33.33333333333333,6.470052083333333
turkey,Super Lig,2025,Abdurrahim Dursun,27.0,D,Türkiye,176.0,70.0,17,7,684.0,0.0,1.0,0.0,0.0,0,0,2,0.0,0,0.13157894736842105,0.6578947368421052,0.13157894736842105,0.0,0.13157894736842105,0.13157894736842105,0.0,33.81578947368421,1.3157894736842104,2.894736842105263,0.0,0.9210526315789473,3.81578947368421,9.605263157894736,5.13157894736842,1.0526315789473684,0.5263157894736842,0.9210526315789473,0.5263157894736842,1.0526315789473684,0.2631578947368421,0.0,0.0,18.762645914396888,20.0,53.42465753424658,50.0,6.6381578947368425
turkey,Super Lig,2025,Abdülkadir Ömür,26.0,M,Türkiye,168.0,62.0,25,17,1323.0,0.0,1.0,0.0,0.0,0,0,2,0.0,0,0.0,1.0204081632653061,0.6802721088435374,0.0,0.06802721088435375,0.06802721088435375,0.0,28.027210884353742,1.08843537414966,2.2448979591836737,0.1360544217687075,0.6802721088435374,2.925170068027211,8.775510204081634,4.081632653061225,0.8843537414965987,0.40816326530612246,1.2925170068027212,0.6802721088435374,1.0204081632653061,0.1360544217687075,0.0,0.0,17.6919315403423,66.66666666666666,46.51162790697674,46.15384615384615,6.60755857898715
turkey,Super Lig,2025,Abdülkerim Bardakcı,31.0,D,Türkiye,185.0,81.0,30,30,2546.0,0.0,1.0,0.0,0.0,0,0,6,0.0,1,0.07069913589945012,0.6716417910447761,0.1767478397486253,0.0,0.03534956794972506,0.03534956794972506,0.0,64.37156323644933,0.565593087195601,1.4139827179890023,0.565593087195601,0.9544383346425765,2.3684210526315788,7.1759622937941865,4.454045561665358,0.38884524744697563,0.2474469756480754,0.4595443833464258,0.7069913589945012,0.6716417910447761,0.21209740769835037,0.0,0.03534956794972506,60.444261394838,26.31578947368421,62.06896551724138,63.63636363636363,7.152749410840535
