country,league,season,player_name,age,position,nationality,height,weight,appearances,starts,minutes,goals_total,assists,penalty_won,penalty_committed,penalty_scored,penalty_missed,yellow_cards,yellowred_cards,red_cards,offsides_per90,shots_total_per90,shots_on_per90,goals_total_per90,assists_per90,goals_plus_assists_per90,non_penalty_goals_per90,passes_total_per90,passes_key_per90,tackles_total_per90,blocks_per90,interceptions_per90,tackles_plus_interceptions_per90,duels_total_per90,duels_won_per90,dribbles_attempts_per90,dribbles_success_per90,dribbles_past_per90,fouls_drawn_per90,fouls_committed_per90,yellow_cards_per90,yellowred_cards_per90,red_cards_per90,passes_accuracy_pct,shots_on_target_pct,duels_won_pct,dribbles_success_pct,rating_weighted
usa,MLS,2025,AJ Marcucci,26.0,G,USA,191.0,86.0,2,2,180.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.152542372881356,,,,6.5
usa,MLS,2025 / 2026,Aaron Herrera,28.0,D,Guatemala,180.0,71.0,33,28,2459.0,0.0,2.0,0.0,0.0,0,0,11,0.0,2,0.036600244001626675,0.5124034160227735,0.1464009760065067,0.0,0.07320048800325335,0.07320048800325335,0.0,37.33224888165921,1.5372102480683203,1.573810492069947,0.4758031720211468,1.1712078080520536,2.745018300122001,8.27165514436763,4.245628304188695,1.573810492069947,0.7320048800325335,0.4392029280195201,0.5490036600244002,1.2078080520536802,0.4026026840178934,0.0,0.07320048800325335,32.444117647058825,28.57142857142857,51.32743362831859,46.51162790697674,6.9214314762098414
usa,MLS,2025 / 2026,Aaron Long,33.0,D,USA,186.0,79.0,20,20,1627.0,1.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.2212661339889367,0.11063306699446834,0.05531653349723417,0.0,0.05531653349723417,0.05531653349723417,71.35832821143208,0.2212661339889367,1.1616472034419176,0.5531653349723417,0.33189920098340503,1.4935464044253228,5.421020282728949,3.650891210817455,0.11063306699446834,0.0,0.27658266748617083,0.2212661339889367,0.7191149354640444,0.05531653349723417,0.0,0.0,72.00697674418605,50.0,67.3469387755102,0.0,7.085617701290719
usa,MLS,2025,Abraham Romero,27.0,G,Mexico,191.0,87.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usa,MLS,2025 / 2026,Adam Beaudry,19.0,G,USA,188.0,77.0,1,1,90.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,,,6.2
usa,MLS,2026,Adam Pearlman,20.0,D,Canada,183.0,,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usa,MLS,2025,Adam Saldana,23.0,M,USA,173.0,66.0,2,2,180.0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,46.0,0.0,2.5,0.5,0.5,3.0,7.0,4.5,0.5,0.5,0.5,1.0,2.0,0.5,0.0,0.0,45.55434782608695,0.0,64.28571428571429,100.0,6.9
usa,MLS,2025,Adem Sipic,19.0,F,USA,185.0,,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
usa,MLS,2025,Adilson Malanda,24.0,D,France,185.0,75.0,36,36,3175.0,1.0,0.0,0.0,2.0,0,0,4,0.0,1,0.0,0.3968503937007874,0.028346456692913385,0.028346456692913385,0.0,0.028346456692913385,0.028346456692913385,61.31338582677166,0.1700787401574803,0.7653543307086613,1.4456692913385827,0.9354330708661418,1.7007874015748032,5.159055118110237,2.9763779527559056,0.36850393700787404,0.2551181102362205,0.28346456692913385,0.28346456692913385,0.6803149606299213,0.11338582677165354,0.0,0.028346456692913385,59.73971336107258,7.142857142857142,57.692307692307686,69.23076923076923,7.09748031496063
usa,MLS,2025 / 2026,Adisa De Rosario,21.0,G,Canada,185.0,75.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
